t,x,y,z,yaw,u,v,w,r
0.0,3.104627666061788e-12,-7.194245199571014e-14,-0.1999999999999291,-3.6770586575585195e-13,8.2649165289439e-13,0.0,-1.8396395518038846e-13,-2.7117197376469452e-14
0.01,6.651818513469104e-06,-3.116084895288935e-09,-0.20000000009225255,3.700291155579331e-07,0.001329663941078332,-6.260963469326797e-07,-1.8471271301813378e-08,7.387473976612362e-05
0.02,2.6579269873729478e-05,-1.2559992833885258e-08,-0.20000000036948967,1.4748750894117474e-06,0.002655123370361091,-1.2692247777704566e-06,-3.698289979766059e-08,0.00014696363328299387
0.030000000000000002,5.974018649413443e-05,-2.846464317898801e-08,-0.20000000083204544,3.3066880038655146e-06,0.003976353771302104,-1.9307333482220152e-06,-5.553499469496865e-08,0.00021926850631239755
0.04,0.00010609215979451207,-5.094827508550267e-08,-0.2000000014803242,5.857637195235615e-06,0.005293331001532457,-2.611938096386732e-06,-7.412748137566108e-08,0.0002907912184457109
0.05,0.0001655925433057928,-8.011451944249304e-08,-0.20000000231472947,9.11991088614486e-06,0.006606031293686986,-3.314123042754674e-06,-9.276028536011317e-08,0.000361533663076782
0.060000000000000005,0.00023819845267000967,-1.1605239887318141e-07,-0.20000000333566403,1.3085716185522505e-05,0.007914431255404279,-4.038540190206604e-06,-1.114333323071519e-07,0.00043149776740193137
0.07,0.00032386676564029787,-1.588363277349484e-07,-0.20000000454353,1.7747279088604242e-05,0.009218507869326676,-4.7864095240139674e-06,-1.30146548014056e-07,0.0005006854924199513
0.08,0.0004225541504165003,-2.0852951513546864e-07,-0.20000000593872866,2.3096847273656024e-05,0.010518238493492057,-5.558921525020838e-06,-1.4889985841047993e-07,0.0005690988391692567
0.09,0.000534217043678295,-2.6518055331261603e-07,-0.20000000752166064,2.912668768968721e-05,0.011813600863470457,-6.35723482941493e-06,-1.6769318956092599e-07,0.0006367398459132844
0.1,0.0006588116152612896,-3.288181810224728e-07,-0.20000000929272574,3.582908324177427e-05,0.013104573091927077,-7.182472716875888e-06,-1.865264676758553e-07,0.000703610579843367
0.11,0.00079629383619642,-3.994594546526275e-07,-0.20000001125232306,4.319633973225891e-05,0.014391133668129188,-8.035729203213166e-06,-2.0539961910008017e-07,0.0007697131506057484
0.12000000000000001,0.0009466194796021451,-4.771098568741894e-07,-0.2000000134008509,5.122078595044943e-05,0.015673261457946307,-8.918069120559406e-06,-2.243125703125924e-07,0.0008350497104865479
0.13,0.0011097441206844461,-5.617632966417888e-07,-0.20000001573870693,5.989477367262067e-05,0.016950935703850208,-9.830528117370449e-06,-2.4326524792656336e-07,0.0008996224544117605
