t,x,y,z,yaw,u,v,w,r
0.0,3.0517810500896307e-12,7.105427357601002e-15,-0.1999999999993793,5.506706202140776e-14,1.0029130304012313e-12,-2.7755575615628914e-16,1.9992341115937506e-13,8.590350653037149e-15
0.01,9.672670320637544e-06,-8.533406972623887e-10,-0.20000000016335315,9.926070167618634e-08,0.0019335375515112318,-1.7204135665045705e-07,-3.278191998052859e-08,1.9817549407112497e-05
0.02,3.865074299782177e-05,-3.4597690808922226e-09,-0.200000000654757,3.956605795868973e-07,0.003861071759733548,-3.520473781237546e-07,-6.54858284748318e-08,3.942796154191224e-05
0.030000000000000002,8.68738979068753e-05,-7.884455763939373e-09,-0.2000000014728095,8.871316192420933e-07,0.005782544654912725,-5.405411352786945e-07,-9.811166973506247e-08,5.883189579230574e-05
0.04,0.00015428123918804923,-1.4186712127293965e-08,-0.20000000261673065,1.571612448498248e-06,0.00769789906456425,-7.380333010592044e-07,-1.3065958766493862e-07,7.803002386546562e-05
0.05000000000000001,0.000240811298673824,-2.241999156341899e-08,-0.20000000408574198,2.4470484002504637e-06,0.009607078614648925,-9.450221566570226e-07,-1.631297258964359e-07,9.702302982876745e-05
0.060000000000000005,0.00034640208500744346,-3.263299312920744e-08,-0.20000000587906636,3.5113924818534222e-06,0.01151002775321653,-1.1619943591961358e-06,-1.9552222780869163e-07,0.00011581161452681845
0.07,0.00047099099419932065,-4.486749119808278e-08,-0.20000000799592813,4.762603459246382e-06,0.0134066917113203,-1.3894234522099906e-06,-2.2783723651344944e-07,0.00013439648826611488
0.08,0.0006145148567412648,-5.9159022295990906e-08,-0.20000001043555313,6.198646837482522e-06,0.015297016521118012,-1.6277704795041676e-06,-2.600748948494872e-07,0.00015277837428306383
0.09000000000000001,0.0007769099992534813,-7.553820672211992e-08,-0.20000001319716856,7.817496126272475e-06,0.017180949043377955,-1.8774849367284356e-06,-2.922353453952743e-07,0.00017095801390919422
0.10000000000000002,0.0009581122444845707,-9.403074854890016e-08,-0.20000001628000308,9.617132839984326e-06,0.01905843696747893,-2.1390047713767524e-06,-3.243187304689713e-07,0.00018893616657115667
0.11000000000000001,0.0011580569113115282,-1.1465743562200394e-07,-0.20000001968328676,1.1595546497643603e-05,0.02092942881141021,-2.4127563827872616e-06,-3.5632519212843004e-07,0.00020671360979072347
0.12000000000000001,0.0013766788147397445,-1.3743413956034598e-07,-0.20000002340625103,1.3750734622933295e-05,0.022793873921771596,-2.6991546221422976e-06,-3.8825487217119366e-07,0.00022429113918478875
0.13,0.0016139122659030061,-1.6237181575608303e-07,-0.20000002744812884,1.6080702744193846e-05,0.024651722473773396,-2.9986027924683825e-06,-4.2010791213449667e-07,0.00024166956846536825
0.14,0.0018696910720634938,-1.8947650337461403e-07,-0.2000000318081544,1.8583464394423136e-05,0.026502925471236394,-3.3114926486362242e-06,-4.518844532952647e-07,0.0002588497294395995
0.15,0.0021439485366117833,-2.1874932535458005e-07,-0.20000003648556347,2.1257041111276496e-05,0.028347434746591887,-3.63820439736072e-06,-4.835846366701146e-07,0.0002758324720097417
0.16,0.0024366174590668478,-2.5018648840786453e-07,-0.20000004147959313,2.4099462437066732e-05,0.030185202960881695,-3.9791066972009575e-06,-5.15208603015355e-07,0.0002926186641731758
0.17000000000000004,0.0027476301350760532,-2.837792830195928e-07,-0.20000004678948197,2.7108765918764086e-05,0.0320161836037581,-4.334556658560209e-06,-5.467564928269853e-07,0.0003092091920224046
0.18000000000000002,0.003076918455831069,-3.195152750227374e-07,-0.20000005241446986,3.028299936352632e-05,0.03384033101061731,-4.70490123191437e-06,-5.782284463445013e-07,0.00032560496365239855
0.19000000000000003,0.0034244139302054394,-3.573779698554157e-07,-0.20000005835379814,3.3620221267698926e-05,0.03565760037894559,-5.090477123702014e-06,-6.096246035458068e-07,0.0003418069119200913
0.20000000000000004,0.003790047495137606,-3.973447111620171e-07,-0.20000006460670958,3.711849662935867e-05,0.037467947731271295,-5.49160825533689e-06,-6.409451041426368e-07,0.0003578159862993382
0.21000000000000002,0.004173749685640474,-4.3938918149639986e-07,-0.20000007117244833,4.077590090689096e-05,0.03927132993442786,-5.908608437569748e-06,-6.721900875921209e-07,0.00037363315803336065
0.22000000000000003,0.004575450638085871,-4.834814460602622e-07,-0.20000007805025996,4.459052009432124e-05,0.041067704700026374,-6.3417814191961775e-06,-7.033596930969549e-07,0.00038925942024963065
0.23000000000000004,0.004995080090204541,-5.295879527031409e-07,-0.20000008523939136,4.856045072131484e-05,0.04285703058445552,-6.791420887056591e-06,-7.344540596054e-07,0.0004046957879598709
0.24000000000000002,0.0054325673810861445,-5.776715319224124e-07,-0.20000009273909086,5.26837998531771e-05,0.044639266988881626,-7.257810466036229e-06,-7.654733258112835e-07,0.00041994329806005444
0.25,0.0058878414511792645,-6.276913968632922e-07,-0.20000010054860812,5.695868509085336e-05,0.04641437415924863,-7.741223719065169e-06,-7.964176301539985e-07,0.0004350030093304051
0.26,0.006360830842291401,-6.796031433188354e-07,-0.20000010866719417,6.138323457092886e-05,0.04818231318627812,-8.241924147118314e-06,-8.27287110818504e-07,0.0004498760024353972
