t,x,y,z,yaw,u,v,w,r
0.0,1.0234479930204545e-11,2.7147173398134328e-12,-0.19999999999769,1.120881165661558e-12,1.041153274705664e-12,1.901256929670581e-15,1.5823453658470046e-13,9.239831122442865e-14
0.01,6.608435758442168e-06,1.6009818092518445e-06,-0.20000104968802124,1.5208373406786022e-05,0.0013210145340187803,0.00031999098183523164,-0.0002098574021656013,0.003037384835711096
0.02,2.6406650117095914e-05,6.396632557875631e-06,-0.20000419553200605,6.065997484065013e-05,0.0026379920636288292,0.0006387846246805801,-0.00041923068724950745,0.006048455602267775
0.030000000000000002,5.9353859219023796e-05,1.437649027276936e-05,-0.20000943268718308,0.00013608597867825973,0.003950934325528174,0.0009563251782332427,-0.0006281195973745352,0.009032074699040401
0.04,0.0001054090037710065,2.5530701657879945e-05,-0.2000167563085514,0.00024120638256914262,0.005259842822372773,0.0012725581173207386,-0.0008365238832979642,0.011987137810071897
0.049999999999999996,0.0001645307577264416,3.985003610550244e-05,-0.2000261615486159,0.0003757300105014787,0.00656471882237462,0.001587430143720715,-0.0010444433042538558,0.014912574078098092
0.060000000000000005,0.00023667753728166664,5.73258517023322e-05,-0.20003764355757886,0.0005393554269963439,0.007865563299184046,0.001900889267441337,-0.0012518776278769082,0.017807348663744407
0.07,0.0003218075041462462,7.79500822204935e-05,-0.20005119748339498,0.0007317712310532379,0.009162376911949866,0.002212884833707709,-0.0014588266301775402,0.020670463586351925
0.08,0.0004198785655429726,0.00010171523711753962,-0.20006681847177124,0.0009526560561500864,0.01045516000531938,0.0025233675229618677,-0.0016652900955418913,0.023500957723977416
0.09,0.0005308483757483012,0.0001286143954496567,-0.20008450166621955,0.0012016787951589058,0.01174391259941128,0.0028322893644045716,-0.0018712678167141226,0.02629790718526362
0.09999999999999999,0.0006546743413403702,0.0001586411884784998,-0.20010424220830567,0.0014784995604394994,0.013028634342475203,0.0031396037997028655,-0.0020767595947229537,0.029060427238633876
0.10999999999999999,0.0007913136207208649,0.00019178979916193752,-0.20012603523762326,0.0017827696419021612,0.014309324515232218,0.003445265677102162,-0.002281765238886391,0.03178767209479863
0.12000000000000001,0.0009407231319968424,0.00022805492484006846,-0.20014987589196165,0.0021141324206625,0.01558598199795012,0.003749231296173462,-0.0024862845667380615,0.03447883585670812
0.13,0.0011028595535788497,0.00026743177462832475,-0.2001757593073217,0.0024722234456793436,0.016858605267341207,0.0040514584120156065,-0.0026903174040210863,0.037133152623361386
0.14,0.0012776793241981023,0.00030991606932855714,-0.20020368061791657,0.00285667043646002,0.01812719239651347,0.0043519062353216615,-0.0028938635846878723,0.039749896490013065
0.15,0.0014651386469328093,0.00035550402063940184,-0.20023363495634805,0.003267094091372081,0.01939174103750847,0.004650535455944752,-0.0030969229508388874,0.042328381830664036
0.16,0.0016651934882148894,0.000404192335431503,-0.20026561745370536,0.0037031084420678815,0.020652248407841436,0.004947308260638374,-0.0032994953527031535,0.04486796388808792
0.17,0.0018777995835192413,0.00045597818454621664,-0.20029962323964148,0.004164321392862738,0.021908711288924215,0.00524218833559424,-0.003501580648590263,0.04736803822774561
0.18,0.002102912441737192,0.0005108591799116685,-0.2003356474424807,0.0046503352919110294,0.023161126017998447,0.005535140877549003,-0.0037031787048433,0.04982804061522178
0.19,0.002340487345176498,0.0005688333745427542,-0.20037368518921855,0.0051607469312061945,0.024409488488135553,0.005826132593784244,-0.003904289395838841,0.052247447016224864
0.19999999999999998,0.002590479349884173,0.0006298992607067261,-0.20041373160553294,0.005695147599493112,0.025653794148376978,0.0061151317019295355,-0.004104912603982495,0.05462577353853047
0.21000000000000002,0.002852843290282657,0.0006940557405063462,-0.20045578181603368,0.00625312423991402,0.02689403800109794,0.006402107933139111,-0.0043050482196195184,0.05696257558824424
0.21999999999999997,0.0031275337746795866,0.0007613021456170355,-0.20049983094425067,0.006834259340553275,0.02813021459451482,0.006687032541799693,-0.004504696141056968,0.0592574485607478
0.23,0.0034145051948977754,0.0008316381868938713,-0.20054587411278893,0.00743813180516455,0.029362318037306025,0.006969878285948286,-0.004703856274476017,0.061510026004174226
0.24000000000000002,0.003713711729255303,0.000905063938263229,-0.20059390644340122,0.00806431732249641,0.030590342001479105,0.00725061942340431,-0.004902528533898418,0.06371997907628295
0.25,0.004025107342565519,0.000981579836722784,-0.2006439230569882,0.00871238836629231,0.031814279722370754,0.007529231711769585,-0.005100712841186505,0.0658870165444598
0.26,0.004348645786137744,0.0010611866823377987,-0.2006959190735982,0.009381914195377919,0.03303412399864915,0.007805692408425106,-0.005298409126043186,0.06801088478550374
0.27,0.004684280602866959,0.0011438856076447048,-0.2007498896126405,0.01007246180129004,0.03424986721111713,0.008079980243778824,-0.005495617325926515,0.0700913659080252
0.28,0.00503196512215166,0.0012296780919817895,-0.2008058297929795,0.01078359633464777,0.0354615013141691,0.00835207543223088,-0.005692337386041904,0.07212827812585401
0.29,0.005391652466222135,0.0013185659343849707,-0.20086373473295843,0.011514881237057248,0.03666901785488553,0.008621959645815724,-0.0058885692593067685,0.07412147438547959
0.3,0.005763295558515479,0.0014105512119343211,-0.20092359955057407,0.012265879025715114,0.03787240799933758,0.008889615977416929,-0.006084312906262498,0.07607084006472527
0.31,0.006146847123675589,0.0015056362797540653,-0.20098541936347677,0.0130361512934085,0.039071662532587065,0.009155028940767165,-0.0062795682950744485,0.07797629297274813
0.32,0.006542259687553162,0.0016038237710125827,-0.20104918928897036,0.013825258708515038,0.040266771858686504,0.009418184470448218,-0.006474335401531944,0.0798377833500392
0.33,0.006949485577313749,0.0017051165963857997,-0.2011149044440156,0.014632761027995737,0.04145772600127251,0.009679069921023352,-0.006668614209046764,0.08165529382490411
0.34,0.007368476928000207,0.0018095179054493224,-0.20118255994554662,0.01545821834911768,0.04264451465051885,0.009937673998105911,-0.006862404708526489,0.0834288358882778
0.35000000000000003,0.007799185675463039,0.0019170311087757723,-0.20125215091046933,0.016301191216969744,0.04382712714764206,0.010193986780523544,-0.007055706898402413,0.08515845087470074
0.36,0.008241563566956633,0.002027659840028527,-0.20132367245571084,0.01716124070389357,0.045005552516020245,0.010447999675695928,-0.007248520784571014,0.08684420791260783
0.37,0.008695562167883737,0.0021414079260038688,-0.20139711969836677,0.018037928941429488,0.04617977949177711,0.010699705375106457,-0.007440846380320341,0.08848620173320294
