t,x,y,z,yaw,u,v,w,r
0.0,4.1477932199995853e-13,5.000000000001534,-0.1999999999999051,2.0947688028627454e-12,2.1375470837803334e-12,2.844946500601964e-15,2.9032332093947844e-14,1.6846246619905972e-13
0.01,7.176295693990562e-06,5.000002026593937,-0.20000097084916477,2.9740083551676723e-05,0.0014345666397023147,0.0004049990850058443,-0.00019409643270715355,0.005936573342681081
0.02,2.8676943185806456e-05,5.000008095521545,-0.20000388045987827,0.00011849600575346334,0.002864960245135748,0.0008081494402150438,-0.00038775226144583096,0.011802513817205193
0.03,6.445931682290588e-05,5.000018191489568,-0.2000087244251423,0.00026554215543064374,0.004291215009311194,0.0012093326550859135,-0.0005809673144069405,0.017593971059044748
0.04,0.00011448043204236198,5.000032300505606,-0.20001549833635934,0.00047011483398656296,0.00571336363930755,0.001608433522963092,-0.0007737414268697375,0.023307255220899645
0.05,0.00017869694949188363,5.000050409842102,-0.20002419778333902,0.0007314146590942517,0.0071314372155371845,0.002005340212536712,-0.0009660744411368923,0.028938846433573293
0.06,0.00025706518047014285,5.000072507997951,-0.200034818354355,0.001048608257501935,0.00854546509093181,0.0023999443894750045,-0.0011579662065089643,0.03448540120287337
0.07,0.00034954108726037805,5.000098584689129,-0.20004735563617232,0.0014208289288111374,0.009955474863033813,0.0027921412505688033,-0.0013494165792750366,0.03994375400283318
0.08,0.00045608028171385156,5.000128630821167,-0.200061805214172,0.0018471794045743437,0.011361492253534394,0.0031818296697977977,-0.0015404254226747494,0.04531092460300748
0.09,0.0005766380282271454,5.000162638449079,-0.20007816267241474,0.002326733849558312,0.012763541042057198,0.0035689122814703067,-0.001730992606870733,0.05058412099892249
0.1,0.0007111692479764254,5.000200600733413,-0.20009642359370408,0.0028585398407677855,0.014161643001411352,0.003953295562141573,-0.0019211180089203778,0.05576074210218712
0.11,0.000859628518853541,5.000242511930394,-0.20011658355961157,0.0034416190254793655,0.015555817883499422,0.004334889849050891,-0.002110801512766882,0.0608383780945846
0.12,0.0010219700712612821,5.000288367362027,-0.2001386381505984,0.004074970104053751,0.016946083351734503,0.00471360942646557,-0.0023000430092009806,0.06581481276510896
0.13,0.0011981477896381447,5.000338163376722,-0.20016258294607978,0.004757570820119367,0.01833245495490848,0.005089372563179947,-0.0024888423958334717,0.07068802290341761
0.14,0.0013881152169904513,5.000391897294442,-0.20018841352449504,0.005488380213562155,0.01971494610214911,0.005462101551047979,-0.0026771995770620647,0.0754561769036213
0.15,0.0015918255549812125,5.000449567399527,-0.20021612546332174,0.006266339011709819,0.021093568061208143,0.005831722708435922,-0.0028651144640657574,0.0801176343612153
0.16,0.0018092316590402118,5.000511172906039,-0.20024571433919222,0.007090372602431607,0.022468329944756168,0.006198166405087567,-0.0030525869747658934,0.08467094361695938
0.17,0.002040286035509169,5.000576713935594,-0.20027717572795883,0.007959392799844457,0.02383923870821983,0.006561367069736254,-0.0032396170338033327,0.08911483978449367
0.18,0.002284940848808782,5.000646191438642,-0.2003105052047831,0.008872300575479147,0.025206299179841213,0.006921263168770157,-0.003426204572492736,0.09344823758694276
0.19,0.0025431479220569602,5.0007196071847035,-0.20034569834414975,0.009827986461029333,0.02656951406319332,0.007277797205124103,-0.0036123495288161774,0.09767023051178259
0.2,0.0028148587362697105,5.000796963738094,-0.20038275071992195,0.010825331916152906,0.027928883960156328,0.0076309156963686895,-0.0037980518474016963,0.1017800870634633
0.21,0.0031000244198741258,5.000878264434877,-0.20042165790546768,0.011863212460870427,0.02928440739262566,0.007980569156207973,-0.0039833114794847945,0.1057772456295773
0.22,0.0033985957542333025,5.000963513332442,-0.20046241547371188,0.012940499054067692,0.030636080859028813,0.008326712035810925,-0.004168128382879188,0.10966130734166202
0.23,0.0037105231803590127,5.00105271514107,-0.20050501899722045,0.014056060210710656,0.03198389890320751,0.008669302654652936,-0.004352502521933929,0.1134320267226484
0.24,0.004035756798949483,5.001145875223271,-0.2005494640482011,0.01520876202781771,0.033327854115066495,0.009008303199876777,-0.004536433867532939,0.11708931159278245
0.25000000000000006,0.004374246369677737,5.0012429995737255,-0.20059574619855242,0.01639746923209447,0.03466793716809722,0.009343679685061848,-0.004719922397075693,0.12063321872958754
0.26,0.0047259412999551935,5.0013440947775365,-0.20064386102003182,0.017621049019925013,0.03600413691681323,0.00967540184268882,-0.004902968094420874,0.12406394190734699
0.27,0.005090790651074144,5.001449167984095,-0.20069380408426413,0.01887837114893284,0.03733644043387071,0.010003443082823506,-0.005085570949874985,0.12738180828244738
0.28,0.0054687431485505224,5.001558226825929,-0.20074557096284548,0.02016830988557701,0.038664833137019725,0.01032778035374881,-0.005267730960137305,0.1305872647523055
0.29000000000000004,0.00585974718231022,5.001671279415832,-0.20079915722734837,0.02148974410547045,0.039989298793926695,0.010648394136671747,-0.005449448128297608,0.1336808774196687
0.3,0.006263750806537772,5.001788334339038,-0.2008545584493424,0.022841557657056834,0.041309819542769084,0.010965268421519455,-0.005630722463827755,0.13666332959896302
0.31000000000000005,0.006680701732092232,5.001909400601504,-0.2009117702005753,0.024222642793187123,0.04262637605167253,0.011278390519158125,-0.005811553982515641,0.13953540604634057
0.32,0.007110547329472082,5.00203448761499,-0.20097078805298554,0.02563190032052033,0.04393894754462044,0.011587751032290402,-0.0059919427064564455,0.14229799048887165
0.33,0.007553234642967281,5.002163605123535,-0.20103160757879182,0.027068240552280104,0.04524751193811715,0.011893343696803277,-0.006171888664000123,0.14495205307618686
0.34,0.00800871039149472,5.002296763194674,-0.20109422435050947,0.0285305835581062,0.046552045860672436,0.012195165358976086,-0.006351391889743612,0.14749864854043412
0.35000000000000003,0.008476920968842089,5.002433972209802,-0.20115863394097802,0.030017859533672128,0.04785252468260807,0.012493215938753457,-0.0065304524245193936,0.1499389136471591
0.36,0.008957812438763486,5.002575242822956,-0.20122483192351903,0.03152901124819076,0.049148922672098236,0.012787498237255812,-0.006709070315336799,0.15227405360151955
0.37000000000000005,0.00945133054150885,5.002720585937538,-0.2012928138719585,0.03306299403693384,0.05044121303798622,0.013078017885798963,-0.006887245615365811,0.15450533852613177
0.38,0.00995742070754344,5.002870012648324,-0.20136257536070742,0.03461877621588306,0.05172936804991159,0.013364783199458365,-0.0070649783838894024,0.15663409362130631
0.39,0.010476028058120647,5.003023534237587,-0.20143411196476949,0.0361953391608085,0.05301335904802937,0.013647805165143393,-0.007242268686299737,0.1586616983514457
0.4,0.01100709740649527,5.003181162155812,-0.20150741925980373,0.03779167794641629,0.054293156510216635,0.013927097354930083,-0.007419116594071776,0.16058958127733616
0.41000000000000003,0.011550573254450164,5.003342907994637,-0.20158249282224966,0.039406802953220285,0.055568730175930364,0.014202675766796959,-0.007595522184717446,0.16241921031359602
0.42,0.01210639980699722,5.003508783448288,-0.20165932822936222,0.04103973941062507,0.05684004911095965,0.01447455874273552,-0.00777148554175578,0.16415208813998816
0.43000000000000005,0.012674520981732452,5.003678800279396,-0.2017379210592704,0.04268952752055064,0.05810708178552922,0.01474276686846311,-0.007947006754679204,0.16578974644940878
0.44,0.013254880409200755,5.003852970317286,-0.2018182668909822,0.04435522248248526,0.05936979607964673,0.015007322966191028,-0.008122085918951145,0.16733374558235578
0.45000000000000007,0.013847421435393146,5.004031305428876,-0.20190036130450006,0.04603589541093091,0.06062815939774909,0.015268251939670907,-0.008296723135958181,0.16878566655255106
0.46,0.014452087122168899,5.004213817504467,-0.20198419988088365,0.04773063387393592,0.06188213873042144,0.015525580691966646,-0.008470918512985627,0.17014710668399333
0.47000000000000003,0.015068820267419557,5.0044005184090175,-0.20206977820231742,0.04943854127378119,0.06313170074527003,0.015779338002169095,-0.008644672163168577,0.17141967386641155
0.48,0.015697563408703832,5.004591419971067,-0.20215709185213346,0.05115873683599759,0.06437681181352863,0.01602955448924182,-0.00881798420547884,0.17260498480547282
0.49,0.016338258825113194,5.00478653397549,-0.20224613641483813,0.05289035569887115,0.06561743803470889,0.01627626257670952,-0.00899085476471256,0.17370466351724376
0.5000000000000001,0.016990848539895877,5.004985872136665,-0.20233690747624844,0.05463254979833487,0.06685354535770094,0.01651949632103955,-0.009163283971435498,0.17472033369012907
0.51,0.017655274329455822,5.005189446080376,-0.2024294006235226,0.05638448750796198,0.06808509961380277,0.01675929136445841,-0.009335271961961518,0.17565361685603773
0.52,0.018331477740885286,5.005397267306453,-0.2025236114452297,0.05814535306213003,0.0693120665897947,0.016995684828194416,-0.009506818878305514,0.176506128336014
0.53,0.01901940009272303,5.005609347186795,-0.20261953553135473,0.059914346547777594,0.0705344120329445,0.017228715305231252,-0.009677924868180528,0.1772794769477521
0.54,0.019718982479984326,5.0058256969501675,-0.20271716847336654,0.061690684033347556,0.07175210170468606,0.01745842277856138,-0.009848590084966335,0.17797526209073722
0.5499999999999999,0.020430165775734616,5.006046327666203,-0.20281650586432703,0.06347359817356404,0.07296510146533626,0.017684848495627313,-0.010018814687667748,0.17859506888963134
0.56,0.021152890649041096,5.006271250218158,-0.202917543298929,0.06526233728352622,0.07417337730643148,0.01790803491452686,-0.010188598840878941,0.1791404669718308
0.5700000000000001,0.021887097576272118,5.00650047528218,-0.2030202763735463,0.06705616494490706,0.07537689539169176,0.018128025638811857,-0.010357942714750795,0.1796130085200787
0.5800000000000001,0.02263272684145673,5.006734013326643,-0.20312470068623656,0.0688543599990458,0.07657562205879051,0.018344865414502448,-0.010526846484989432,0.1800142281939617
0.59,0.023389718544458617,5.006971874592728,-0.20323081183684855,0.0706562166465138,0.07776952388983671,0.018558600015147267,-0.010695310332806872,0.18034563975840284
0.6,0.02415801260227786,5.007214069086918,-0.20333860542708762,0.0724610447160143,0.07895856775480471,0.018769276174668312,-0.010863334444896908,0.18060873384061935
0.61,0.02493754877219079,5.0074606065504526,-0.20344807706057497,0.07426816851009388,0.08014272084474146,0.018976941522155392,-0.011030919013383513,0.18080497709611046
0.6200000000000001,0.025728266658003734,5.007711496449792,-0.20355922234287602,0.07607692656958291,0.08132195068920745,0.01918164455079875,-0.011198064235802304,0.18093581154242958
0.63,0.02653010571109744,5.007966747975076,-0.20367203688150815,0.07788667164896618,0.08249622516017546,0.019383434610569315,-0.011364770315096289,0.18100265441673608
0.64,0.027343005240512752,5.0082263700215925,-0.20378651628606761,0.07969677073532232,0.08366551253923486,0.01958236178946381,-0.011531037459557695,0.1810068953914289
0.65,0.028166904415239034,5.008490371185056,-0.20390265616827116,0.08150660508848778,0.08482978153958658,0.019778476877098734,-0.011696865882811542,0.18094989560990873
0.66,0.02900174228845418,5.008758759734725,-0.20402045214202238,0.08331556904496777,0.08598900132742895,0.019971831308825964,-0.011862255803758059,0.18083298766254327
0.67,0.02984745780172209,5.0090315436081445,-0.20413989982343098,0.08512306985348647,0.0871431415302744,0.020162477148380025,-0.012027207446559957,0.18065747536384605
0.68,0.03070398978629451,5.0093087304096375,-0.20426099483082188,0.08692852763882894,0.08829217224020966,0.0203504670807189,-0.012191721040637279,0.18042463366497624
0.6900000000000001,0.0315712769748956,5.009590327394121,-0.20438373278486854,0.08873137529993108,0.0894360640680808,0.020535854305306054,-0.012355796820604881,0.1801357067920891
0.7000000000000001,0.03244925800346383,5.009876341464434,-0.204508109308626,0.0905310585275783,0.09057478815746918,0.020718692511791495,-0.012519435026260108,0.17979190770902306
0.71,0.03333787143588321,5.010166779148889,-0.20463412002759793,0.09232703458618655,0.09170831619091649,0.020899035840303705,-0.012682635902521862,0.1793944188666256
0.72,0.034237055768161634,5.010461646597043,-0.20476176056975529,0.0941187721454319,0.09283662039481463,0.02107693886804565,-0.01284539969941776,0.1789443921633416
0.7300000000000001,0.03514674942911448,5.010760949579086,-0.20489102656554087,0.09590575125863442,0.09395967354032446,0.021252456606592297,-0.013007726672081523,0.17844294893570506
0.7400000000000001,0.03606689079349199,5.011064693472659,-0.20502191364799446,0.09768746311957849,0.09507744897857853,0.021425644418897098,-0.013169617080690487,0.1778911790811379
0.75,0.03699741818210827,5.011372883261431,-0.20515441745279864,0.09946341022310504,0.09618992065943854,0.021596557987284513,-0.013331071190452537,0.17729014032440715
0.76,0.0379382698860618,5.011685523517692,-0.20528853361833582,0.10123310515029343,0.0972970631203511,0.021765253296793085,-0.013492089271546251,0.17664085961287493
0.77,0.038889384173468336,5.012002618396956,-0.20542425778571682,0.10299607029019792,0.09839885148890237,0.021931786620201954,-0.013652671599100035,0.17594433328000222
0.78,0.039850699289460945,5.012324171637955,-0.20556158559878088,0.10475183783984743,0.09949526148281827,0.02209621451803084,-0.013812818453192119,0.17520152704534897
0.79,0.04082215346643079,5.01265018655512,-0.20570051270417739,0.10649994953984993,0.10058626942204602,0.022258593796592764,-0.013972530118806009,0.17441337593334094
0.8,0.04180368492905599,5.01298066603332,-0.20584103475147394,0.10823995679602164,0.10167185225950277,0.022418981442799267,-0.01413180688578966,0.173580783340593
0.81,0.04279523190903379,5.013315612520292,-0.20598314739316773,0.10997141984889558,0.10275198755789955,0.022577434640288715,-0.014290649048824473,0.17270462240069134
0.8200000000000001,0.04379673266040628,5.013655028017086,-0.20612684628474542,0.11169390712656167,0.10382665348436887,0.022734010750064117,-0.014449056907377262,0.1717857367143476
0.83,0.04480812545956563,5.013998914078071,-0.2062721270846832,0.11340699524448491,0.10489582881046633,0.022888767310480423,-0.014607030765700245,0.17082494034952395
0.84,0.04582934860806201,5.014347271809409,-0.20641898545446602,0.11511026891956799,0.105959492912337,0.023041762030460468,-0.014764570932819418,0.16982301791359652
0.8500000000000001,0.046860340448330415,5.014700101859693,-0.2065674170587476,0.11680332067750734,0.10701762578862278,0.02319305271983921,-0.014921677722455324,0.1687807243977954
0.8600000000000001,0.047901039361982624,5.015057404421195,-0.2067174175653434,0.11848575089402855,0.10807020806113887,0.023342697294053517,-0.01507835145303079,0.16769878512766265
0.87,0.048951383794881426,5.015419179218328,-0.2068689826453049,0.12015716665587733,0.10911722094447635,0.0234907537747952,-0.015234592447594937,0.1665778974762942
0.88,0.050011312260308,5.015785425506063,-0.20702210797293438,0.12181718163869046,0.1101586462439933,0.023637280286535042,-0.015390401033811944,0.1654187310189602
