t,x,y,z,yaw,u,v,w,r
0.0,7.087219699997149e-12,6.217248937900877e-15,-0.1999999999991901,5.506706202140776e-14,1.2015319295066718e-12,-2.0816681711721685e-17,3.0808688933348094e-14,5.856426454897701e-15
0.01,6.630645008506205e-06,7.690696062270687e-10,-0.2000006534980563,-1.6739384518944272e-07,0.0013254311967188029,1.5420434971753788e-07,-0.0001306521649483031,-3.3358200547914506e-05
0.02,2.6494674215133295e-05,3.0838035964559856e-09,-0.20000261209046388,-6.647551916512359e-07,0.0026466744669463443,3.1076910854473776e-07,-0.0002610187254986919,-6.599380276256373e-05
0.03,5.955009077385337e-05,6.9509220397618884e-09,-0.20000587292076433,-1.4848670062993962e-06,0.00396370547272477,4.703011915468582e-07,-0.00039109976215712393,-9.790860397571929e-05
0.04,0.0001057546545734923,1.2371002944649528e-08,-0.2000104331341606,-2.6205303826061406e-06,0.0052765002472427314,6.333828683283244e-07,-0.000520895358229357,-0.0001291044084406667
0.049999999999999996,0.00016506588932494931,1.9338488476302185e-08,-0.20001628987670741,-4.064564485534824e-06,0.006585035196036917,8.005717630119114e-07,-0.0006504055997901406,-0.00015958302732634874
0.06,0.0002374410825611972,2.784168495658172e-08,-0.2000234402953111,-5.809806551539935e-06,0.007889287096992057,9.724008542387436e-07,-0.0007796305756832155,-0.00018934627871736566
0.06999999999999999,0.00032283728563728214,3.786276286402851e-08,-0.2000318815377296,-7.849111888567105e-06,0.009189233100340912,1.1493784751682954e-06,-0.0009085703775213139,-0.0002183959876139751
0.08,0.0004212113423808792,4.9380410694355624e-08,-0.20004161075270274,-1.0175354162444035e-05,0.010484850729005946,1.3319906643748925e-06,-0.0010372250995783977,-0.0002467339871684739
0.09,0.0005325198662551202,6.236713184861308e-08,-0.20005262508989777,-1.278142526388801e-05,0.011776117880773537,1.5206990058532104e-06,-0.0011655948388806785,-0.00027436211932736266
0.09999999999999999,0.0006567192053252339,7.678520168089278e-08,-0.2000649216998039,-1.5660235252550732e-05,0.013063012827928471,1.7159374125144168e-06,-0.0012936796953450578,-0.0003012822333918386
0.10999999999999999,0.0007937655104335089,9.259296109446178e-08,-0.20007849773403746,-1.8804713118133698e-05,0.014345514216645427,1.918117731324164e-06,-0.0014214797715227804,-0.00032749618803152377
0.12,0.000943614736059039,1.097448971633289e-07,-0.20009335034534584,-2.220780678920188e-05,0.015623601066987614,2.1276298144345352e-06,-0.0015489951725961891,-0.00035300585131392207
0.13,0.0011062226403177225,1.2819164313224454e-07,-0.2001094766876074,-2.586248313318372e-05,0.016897252772906768,2.344841519184042e-06,-0.001676226006378726,-0.0003778131007044199
0.13999999999999999,0.0012815447849622635,1.478799784167009e-07,-0.20012687391583142,-2.9761727956371135e-05,0.01816644910224316,2.5700987080976283e-06,-0.001803172383314932,-0.00040191982306628585
0.15,0.00146953653538217,1.6875282860293188e-07,-0.2001455391861582,-3.3898546003919526e-05,0.019431170196725585,2.803725248886668e-06,-0.001929834416480445,-0.00042532791466067064
0.16,0.0016701530606037566,1.9074926544791295e-07,-0.20016546965585905,-3.826596095984778e-05,0.020691396571971374,3.0460230144489656e-06,-0.002056212221582003,-0.00044803928114660747
0.16999999999999998,0.0018833493332901419,2.1380450687936145e-07,-0.20018666248333616,-4.285701544703823e-05,0.021947109117486388,3.297271882868756e-06,-0.0021823059169574425,-0.00047005583758101153
