t,x,y,z,yaw,u,v,w,r
0.0,1.176836406102666e-13,5.000000000000559,-0.199999999999954,6.266098750984385e-13,9.888548313519152e-13,4.163336342344337e-17,2.3536728122053322e-14,3.5901837058816e-14
0.01,7.069117469772353e-06,5.000001625996018,-0.20000077425382048,6.710790980566172e-05,0.0014130628482573147,0.00032525526777826597,-0.00015479261626724937,0.01339520758073351
0.02,2.8245106192260438e-05,5.000006510499184,-0.20000309468916203,0.0002673444952307671,0.002821541824090358,0.0006509953509314769,-0.00030923629758161766,0.026622522706276873
0.030000000000000002,6.348062541661536e-05,5.000014665430553,-0.2000069578167118,0.0005989359031199624,0.0042255263934769015,0.0009769508801331388,-0.000463331061302897,0.03966318121070177
0.04,0.00011272793627345996,5.000026105494496,-0.20001236014740129,0.001059926304663861,0.005625103460763886,0.001302860544773201,-0.0006170769290321019,0.052499344171672346
0.05,0.00017593889691108636,5.000040848128173,-0.20001929819239206,0.0016481850431385972,0.007020356998944326,0.0016284715514887204,-0.0007704739265746161,0.06511416069243454
0.060000000000000005,0.00025306495045300585,5.000058913429915,-0.2000277684631305,0.0023614187644640924,0.008411367517813021,0.0019535402760205794,-0.0009235220839191721,0.07749185407156715
0.07,0.00034405711709253114,5.000080324058312,-0.20003776747138377,0.003197182812755245,0.009798211622172674,0.0022778327915910523,-0.0010762214352193883,0.08961778497160487
0.08,0.0004488659832249764,5.000105105176612,-0.2000492917292756,0.004152890400184514,0.011180961728128729,0.002601125204746376,-0.001228572018779618,0.10147848904186416
0.09,0.0005674416831666122,5.000133284360981,-0.2000623377493401,0.005225827275611637,0.012559685672750731,0.0029232041085891537,-0.0013805738770331802,0.11306172218657094
0.1,0.000699733889767435,5.000164891492047,-0.20007690204455425,0.006413163262779695,0.013934446443720607,0.003243866884145519,-0.001532227056524922,0.1243564822687158
0.11000000000000001,0.0008456917986912644,5.0001999586947266,-0.2000929811283763,0.007711962824528211,0.015305301997824743,0.0035629218973920163,-0.0016835316078963175,0.13535301971813685
0.12000000000000001,0.0010052641065761568,5.000238520233586,-0.20011057151479872,0.0091192006969082,0.016672305041284922,0.003880188723812514,-0.0018344875858633078,0.1460428399752567
0.13,0.0011783990019075849,5.000280612395276,-0.200129669718379,0.01063177310645183,0.018035502904750124,0.004195498259331566,-0.0019850950491988083,0.15641869114855025
0.14,0.0013650441482398142,5.000326273426572,-0.20015027225427656,0.012246508015557503,0.019394937478301084,0.004508692765030901,-0.0021353540607182806,0.16647454920428226
0.15,0.0015651466587050722,5.000375543437979,-0.20017237563830628,0.013960180468385009,0.02075064515096397,0.004819625884445279,-0.0022852646872580495,0.17620558765408995
0.16,0.0017786530872220025,5.000428464256261,-0.20019597638697514,0.01576952469663626,0.02210265682199982,0.005128162567795153,-0.0024348269996539774,0.18560812923313746
0.17,0.002005509419857556,5.000485079372499,-0.20022107101750447,0.017671240225538447,0.023450997924417835,0.0054341790132890295,-0.0025840410727314684,0.19467962180725198
0.18,0.002245661042517084,5.00054543385862,-0.20024765604789066,0.019662007869934894,0.02479568849067732,0.005737562515092989,-0.0027329069852828894,0.20341858380098365
0.19000000000000003,0.002499052732072174,5.00060957421975,-0.20027572799694676,0.021738500873994482,0.02613674330704974,0.006038211197861672,-0.0028814248200444725,0.21182452972329124
0.2,0.0027656286538272827,5.000677548306645,-0.20030528338432452,0.023897390658557487,0.0274741720012417,0.006336033867685699,-0.0030295946636832226,0.2198979280314365
0.21000000000000002,0.0030453323429904967,5.000749405255512,-0.20033631873055427,0.026135355984046118,0.028807979180262875,0.0066309497839963025,-0.0031774166067812756,0.2276401500836061
0.22000000000000003,0.003338106679854118,5.000825195384447,-0.20036883055710275,0.028449096252465632,0.030138164654812057,0.006922888293758978,-0.003324890743811887,0.23505338866807568
0.23,0.003643893894179725,5.00090497005561,-0.20040281538640464,0.03083533701777668,0.0314647236708839,0.0072117884753382135,-0.003472017173118637,0.2421405827287595
0.24000000000000002,0.0039626355605006216,5.000988781627339,-0.20043826974188297,0.03329083382724123,0.03278764701887439,0.007497598967124564,-0.0036187959969056992,0.24890538353815522
0.25000000000000006,0.00429427257320176,5.001076683367411,-0.20047519014800913,0.0358123838668186,0.034106921329461526,0.007780277501375756,-0.003765227321214032,0.25535207027437196
0.26,0.004638745148160287,5.001168729336892,-0.20051357313034018,0.038396830803241785,0.03542252934164954,0.008059790494759364,-0.003911311255900062,0.2614854767131654
0.27,0.004995992826122042,5.001264974313166,-0.20055341521554243,0.04104106733572752,0.03673445007675992,0.008336112782192718,-0.004057047914621776,0.26731094493591595
0.28,0.0053659544573852625,5.001365473727617,-0.20059471293143685,0.04374204231494958,0.03804265909486539,0.008609227215091844,-0.004202437414820232,0.2728342631271668
0.29000000000000004,0.005748568199156527,5.001470283565623,-0.20063746280704564,0.046496765752910035,0.03934712880203832,0.008879124187031393,-0.004347479877696539,0.2780615926942055
0.3,0.006143771526145116,5.0015794602802,-0.20068166137261736,0.049302309513084765,0.04064782865422978,0.009145801321511464,-0.004492175428195339,0.2829994214778068
0.31000000000000005,0.006551501222497032,5.001693060741461,-0.2007273051596639,0.0521558116106996,0.0419447253756403,0.009409263127165892,-0.004636524194989161,0.28765451727681995
0.32,0.00697169337865689,5.001811142152194,-0.2007743907010104,0.05505448044502312,0.043237783271291935,0.009669520507430217,-0.004780526310455086,0.2920338628244427
0.33,0.007404283407522091,5.0019337619613875,-0.20082291453082288,0.05799559390340432,0.04452696443742584,0.009926590432807806,-0.004924181910656115,0.2961446140614401
0.34,0.007849206042293283,5.002060977821028,-0.200872873184639,0.060976501658752305,0.045812228942569956,0.010180495650353345,-0.005067491135327278,0.29999406613439816
0.35000000000000003,0.00830639533405437,5.0021928475154525,-0.20092426319941978,0.06399462854501303,0.04709353512620171,0.010431264204861745,-0.00521045412785242,0.30358959863922386
0.36,0.008775784672509841,5.002329428879381,-0.20097708111357937,0.06704747236125376,0.04837083979882996,0.010678929118179446,-0.00535307103524378,0.3069386418439589
0.37000000000000005,0.009257306788998627,5.002470779760455,-0.20103132346701075,0.070132604604466,0.04964409838390595,0.010923528156175335,-0.005495342008129457,0.3100486533777164
0.38000000000000006,0.009750893755247512,5.002616957959793,-0.20108698680113835,0.07324767313203158,0.050913265194564,0.011165103373069014,-0.005637267200730325,0.3129270735429454
0.39,0.010256477007178022,5.002768021158385,-0.20114406765895035,0.0763903990977951,0.05217829361060546,0.011403700816238494,-0.005778846770838294,0.3155813006746494
0.4,0.010773987352842221,5.002924026882959,-0.20120256258501962,0.07955857639697128,0.05343913618571901,0.011639370344404511,-0.005920080879804473,0.31801867622397617
0.41000000000000003,0.01130335497317001,5.003085032456256,-0.2012624681255564,0.08275007360021563,0.05469574489142738,0.011872165213088537,-0.006060969692516563,0.3202464503239191
0.42000000000000004,0.011844509445811103,5.0032510949349565,-0.2013237808284428,0.08596283077967955,0.055948071268890516,0.012102141808799495,-0.006201513377376481,0.3222717648921581
0.43,0.012397379759186105,5.003422271074426,-0.2013864972432527,0.08919485767870299,0.057196066513119516,0.012329359498390818,-0.0063417121062873645,0.3241016448086996
0.44000000000000006,0.012961894315491612,5.003598617290651,-0.20145061392129837,0.09244423483941458,0.05843968166127216,0.012553880297076749,-0.006481566054633385,0.3257429750199253
0.45,0.013537980951182752,5.003780189609349,-0.20151612741567065,0.09570911118914899,0.05967886773576206,0.012775768606356394,-0.006621075401256595,0.32720248729083545
0.46,0.014125566958723534,5.003967043627536,-0.20158303428126045,0.09898770084020968,0.06091357580940823,0.012995091084978245,-0.006760240328440841,0.3284867570785741
0.47000000000000003,0.01472457909225272,5.004159234486953,-0.20165133107479385,0.1022782832980729,0.062143757125012314,0.013211916427630262,-0.006899061021895782,0.3296021916260152
0.48000000000000004,0.015334943581616606,5.004356816834142,-0.2017210143548796,0.10557920246793231,0.06336936324227267,0.01342631508841699,-0.007037537670733452,0.3305550172925285
0.49000000000000005,0.015956586162352855,5.004559844779214,-0.20179208068203572,0.10888886223307095,0.064590346086229,0.013638359165583428,-0.007175670467447311,0.3313512818727857
0.5000000000000001,0.016589432083749002,5.004768371878957,-0.2018645266187098,0.11220572575969834,0.06580665800010331,0.013848122294635825,-0.0073134596079014015,0.3319968513641282
0.51,0.017233406119002627,5.004982451103677,-0.20193834872933342,0.1155283154827923,0.06701825189469143,0.014055679358963865,-0.007450905291306058,0.3324973980333079
